review_text,rating,word_count,is_fake,is_duplicate,emojis,sentiment,scores,compound,label,review_len,detected_lang
"Good Product, NOT GREAT",3.0,4,0,1,,Negative,"{'neg': 0.439, 'neu': 0.229, 'pos': 0.332, 'compound': -0.235}",-0.235,0,4,English
"Versatile, simple and a performer",5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,5,English
The best for the price range in the market,4.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.6369}",0.6369,2,9,English
Good service,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,2,2,English
Optimal for small family,4.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",0.3612,2,4,English
Upgrade your network!!!,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3,English
Good Quality Product and Good Option for some one Gift.,5.0,10,0,1,,Positive,"{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.8271}",0.8271,2,10,English
worst football ever..!!  good service by flipkart:),2.0,7,0,1,,Negative,"{'neg': 0.372, 'neu': 0.397, 'pos': 0.23, 'compound': -0.4184}",-0.4184,0,7,English
Neptune VX Dishwasher,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3,English
Excellent range,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",0.5719,2,2,Other/Mixed
Outstanding.,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6124}",0.6124,2,1,Other/Mixed
Wonderful Fridge.,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",0.5719,2,2,Other/Mixed
A perfect Deepawali Gift for my Mom,4.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.377, 'pos': 0.623, 'compound': 0.765}",0.765,2,7,English
Brilliant,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",0.5859,2,1,English
At this price point this the cheaper and durable..,4.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,9,English
I am very satisfied with this purchase! The product is of great quality and the delivery was prompt. 😍👍🚚,5.0,19,0,0,😍👍🚚,Positive,"{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.8169}",0.8169,2,19,English
Highly priced for the kind of stuff offered,2.0,8,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,8,English
Nice product in this price.,4.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}",0.4215,2,5,English
product is good for under 500 rupees.,4.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.4404,2,7,English
Average Sound Bar,3.0,3,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,3,English
Nice Product!!!!,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.201, 'pos': 0.799, 'compound': 0.6083}",0.6083,2,2,English
"बहुत उपयोगी है, डेली यूज के लिए बेस्ट।",5.0,8,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,8,Hindi
Faulty at times. multiple needles broke,2.0,6,0,1,,Negative,"{'neg': 0.56, 'neu': 0.44, 'pos': 0.0, 'compound': -0.6249}",-0.6249,0,6,English
Useless product,1.0,2,0,1,,Negative,"{'neg': 0.737, 'neu': 0.263, 'pos': 0.0, 'compound': -0.4215}",-0.4215,0,2,English
Average product,3.0,2,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,2,English
Nice to see this Product in Very Less Rate,5.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.4215}",0.4215,2,9,English
So little juice and so much of waste.,5.0,8,0,1,,Positive,"{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.4703}",-0.4703,2,8,English
FLIPKART'S SERVICE IS VERY GOOD AND SATISFACTORY.,4.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.456, 'pos': 0.544, 'compound': 0.7146}",0.7146,2,7,Other/Mixed
Nice,3.0,1,0,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,2,1,Other/Mixed
Great experience with IFB Dishwasher,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,2,5,English
A must have gadget for a smart home,5.0,8,0,1,,Positive,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.4019}",0.4019,2,8,English
Good. Bt bowls are too short,3.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.4404,2,6,English
Very Good Microwave oven,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4927}",0.4927,2,4,English
"1) Product quality = 2 stars, Delivery = 5 stars",2.0,10,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,10,English
Excellent quality and great value for money! 😍💰,5.0,8,0,0,😍💰,Positive,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.8883}",0.8883,2,8,English
Good camera kit,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,2,3,English
Perfect product! can recommend to others,5.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.381, 'pos': 0.619, 'compound': 0.7574}",0.7574,2,6,English
Wondeful purchase. Very good experience until now.,5.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.653, 'pos': 0.347, 'compound': 0.4927}",0.4927,2,7,English
Price Value,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.294, 'pos': 0.706, 'compound': 0.34}",0.34,2,2,Other/Mixed
Useless Product,1.0,2,0,1,,Negative,"{'neg': 0.737, 'neu': 0.263, 'pos': 0.0, 'compound': -0.4215}",-0.4215,0,2,English
NICE YAAR,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,2,2,Other/Mixed
VFM - Primarily designed to move away from Cable,4.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,9,English
Great Power Bank From Mi,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,2,5,English
Same as google home mni,1.0,5,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,5,English
"खूपच छान उत्पादन आहे, मला खूप आवडलं.",5.0,7,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,7,Marathi
Great Purchase,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,2,2,English
rubbish,2.0,1,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,1,Other/Mixed
"Good looks, good installation service, but weak material.",4.0,8,0,1,,Positive,"{'neg': 0.302, 'neu': 0.392, 'pos': 0.306, 'compound': -0.2382}",-0.2382,2,8,English
Neat design and good outcome.,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.337, 'pos': 0.663, 'compound': 0.7096}",0.7096,2,5,English
Worst experience ever! DO NOT BUY,1.0,6,0,1,,Negative,"{'neg': 0.468, 'neu': 0.532, 'pos': 0.0, 'compound': -0.6588}",-0.6588,0,6,English
Quality product from philips,4.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,4,English
LG 20 L solo Microwave Oven is really good,4.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.4927}",0.4927,2,9,English
GOOD..,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,1,Other/Mixed
not at its brand level.,1.0,5,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,5,English
Seems little low power of motor,2.0,6,0,1,,Negative,"{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.204}",-0.204,0,6,English
Decent product.,3.0,2,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,2,English
"पैकेजिंग खराब थी, बॉक्स फटा हुआ था।",1.0,7,0,0,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,7,Hindi
best ball ever....,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",0.6369,2,3,Other/Mixed
Great Product!,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.185, 'pos': 0.815, 'compound': 0.6588}",0.6588,2,2,English
Not so efficient,3.0,3,0,1,,Negative,"{'neg': 0.56, 'neu': 0.44, 'pos': 0.0, 'compound': -0.3713}",-0.3713,0,3,English
Happy it is working well.,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.341, 'pos': 0.659, 'compound': 0.7003}",0.7003,2,5,Other/Mixed
Excellent Product By Philips,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",0.5719,2,4,English
Good choice! But bad installation.,4.0,5,0,1,,Positive,"{'neg': 0.505, 'neu': 0.3, 'pos': 0.195, 'compound': -0.6239}",-0.6239,2,5,English
Stop Working With in ONE MONTH of Usage,1.0,8,0,1,,Negative,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}",-0.296,0,8,English
Nice buy for a family of 4.,4.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.4215}",0.4215,2,7,English
Strong but height is too short for TV base,4.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.2846}",0.2846,2,9,English
Compare to other router it is really good.,4.0,8,0,1,,Positive,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.4927}",0.4927,2,8,English
Mixer Review,2.0,2,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,2,Other/Mixed
Awesome purchase at this price,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,2,5,English
Best router and AP,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",0.6369,2,4,English
Simply Ordinary,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2,English
Reliable and easy to use very good job bajaj...,5.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 0.535, 'pos': 0.465, 'compound': 0.7264}",0.7264,2,9,English
Nice TV,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,2,2,English
very good,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.4927}",0.4927,2,2,Other/Mixed
Value-for-money,4.0,1,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,1,English
"Bad Decision of buying plastic bucket, cheap material",1.0,8,0,1,,Negative,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.5423}",-0.5423,0,8,English
Very Goodreat product,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3,English
"The motor is good, but the engineering is terrible",2.0,9,0,1,,Negative,"{'neg': 0.317, 'neu': 0.534, 'pos': 0.149, 'compound': -0.4939}",-0.4939,0,9,English
Flipkart is BRILLIANT but Bajaj is BAD,3.0,7,0,1,,Negative,"{'neg': 0.43, 'neu': 0.367, 'pos': 0.203, 'compound': -0.6228}",-0.6228,0,7,Other/Mixed
Awesome !,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6588}",0.6588,2,2,Other/Mixed
"Average product, can be better 😕",3.0,6,0,0,😕,Positive,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,2,6,English
Okay TV,3.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.2263}",0.2263,2,2,Other/Mixed
Excellent juicer,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",0.5719,2,2,Other/Mixed
Worth each penny,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.2263}",0.2263,2,3,English
हेल्थ साठी खूप चांगलं आहे.,5.0,5,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,5,Marathi
Awesome Soundbar,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,2,2,English
Beautiful design !!!,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.295, 'pos': 0.705, 'compound': 0.6981}",0.6981,2,3,Other/Mixed
expensive,2.0,1,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,1,Other/Mixed
Bajaj FX 11,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3,Other/Mixed
Great Product with reliability of Bajaj.,5.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.6249}",0.6249,2,6,English
Unclear Specifications,1.0,2,0,1,,Negative,"{'neg': 0.667, 'neu': 0.333, 'pos': 0.0, 'compound': -0.25}",-0.25,0,2,English
Excellent product as well as delivery service,5.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.463, 'pos': 0.537, 'compound': 0.7003}",0.7003,2,7,English
Go for it.,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3,English
Good purchase!,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.239, 'pos': 0.761, 'compound': 0.4926}",0.4926,2,2,English
Quality,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,1,English
Reviewing after an year of use,3.0,6,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,6,English
Great in style juices like a boss,5.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.377, 'pos': 0.623, 'compound': 0.765}",0.765,2,7,English
Low Quality,1.0,2,0,1,,Negative,"{'neg': 0.677, 'neu': 0.323, 'pos': 0.0, 'compound': -0.2732}",-0.2732,0,2,English
Quality product and great service from flipkart,5.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.594, 'pos': 0.406, 'compound': 0.6249}",0.6249,2,7,English
Nice product from IFB,4.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}",0.4215,2,4,English
Nice Trendy and easy to Carry,4.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.412, 'pos': 0.588, 'compound': 0.6908}",0.6908,2,6,English
Shameful act of lying about product features.,1.0,7,0,1,,Negative,"{'neg': 0.569, 'neu': 0.431, 'pos': 0.0, 'compound': -0.765}",-0.765,0,7,English
Worth every penny!!,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.3578}",0.3578,2,3,English
A wonderful product!!!,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.179, 'pos': 0.821, 'compound': 0.6784}",0.6784,2,3,English
Awesome buy ! Value for money,5.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.306, 'pos': 0.694, 'compound': 0.7777}",0.7777,2,6,English
Fabulous!,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5707}",0.5707,2,1,Other/Mixed
100% Satisfied from the Product.,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}",0.4215,2,5,English
Crompton ozone 75 desert air cooler,4.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,6,Other/Mixed
Pretty good product,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.141, 'pos': 0.859, 'compound': 0.7269}",0.7269,2,3,English
"खूप छान product आहे, value for money!",5.0,7,0,0,,Positive,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.4003}",0.4003,2,7,English
Got a good router after doing a lot of research!,5.0,10,0,1,,Positive,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.4926}",0.4926,2,10,English
not detecting in my printer it is too bad,1.0,9,0,1,,Negative,"{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.5423}",-0.5423,0,9,English
Decent quality,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2,English
Not recommended at allused product,1.0,5,0,1,,Negative,"{'neg': 0.285, 'neu': 0.715, 'pos': 0.0, 'compound': -0.1511}",-0.1511,0,5,English
damage product delivery and quality is very poor,1.0,8,0,1,,Negative,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.7645}",-0.7645,0,8,English
Good machine but hidden cost not mention.,3.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.2382}",0.2382,2,7,English
चार्जिंग में बहुत टाइम लेता है यह फोन।,2.0,8,0,0,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,8,Hindi
worth for money,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.2263}",0.2263,2,3,English
Best Choice,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,2,2,English
Value to Money (Smile)...!!!,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.478, 'pos': 0.522, 'compound': 0.5067}",0.5067,2,4,English
Best in class refrigerator,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",0.6369,2,4,English
Perfect for video editing but not for general users,4.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.3291}",0.3291,2,9,English
Wonderful..! I highly recommend.,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.474}",0.474,2,4,English
Ok for unbreakable stuff,2.0,4,0,1,,Negative,"{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.296}",0.296,0,4,Other/Mixed
Ultimate security.,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.294, 'pos': 0.706, 'compound': 0.34}",0.34,2,2,English
Good look,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,2,2,Other/Mixed
Best but not worth in this range,3.0,7,0,1,,Positive,"{'neg': 0.208, 'neu': 0.521, 'pos': 0.271, 'compound': 0.1533}",0.1533,2,7,English
terrific purchase,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4767}",0.4767,2,2,English
Feel Worst Experience,1.0,3,0,1,,Negative,"{'neg': 0.672, 'neu': 0.328, 'pos': 0.0, 'compound': -0.6249}",-0.6249,0,3,English
Best Product in Best Price,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.8555}",0.8555,2,5,English
Monster !!,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2,Other/Mixed
Really bad product,1.0,3,0,1,,Negative,"{'neg': 0.655, 'neu': 0.345, 'pos': 0.0, 'compound': -0.5849}",-0.5849,0,3,English
I am very satisfied with this purchase! The product is of great quality and the delivery was prompt. 😍👍🚚,5.0,19,0,0,😍👍🚚,Positive,"{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.8169}",0.8169,2,19,English
kinda disapointed,3.0,2,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,2,Other/Mixed
Decent product,3.0,2,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,2,English
Old product and have scratch on face,1.0,7,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,7,English
या किमतीत यापेक्षा चांगलं काहीच मिळणार नाही.,5.0,7,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,7,Marathi
Keep it up.,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3,English
Eureka Forbes Trendy Zip Dry Vacuum Cleaner,3.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}",0.1779,2,7,English
awesome product,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,2,2,English
chepest Cardtige,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2,Other/Mixed
improper sync between audio and video.audio is being delayed,1.0,9,0,1,,Negative,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}",-0.2263,0,9,English
"सर्वश्रेष्ठ प्रोडक्ट, ५ स्टार रेटिंग!",5.0,5,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,5,Marathi
Entry Level DSLR.,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3,English
Good product in repeating wifi but not the speed of host net,2.0,12,0,1,,Negative,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.2382}",0.2382,0,12,English
Nice Camera,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,2,2,Other/Mixed
